ticker_id,ticker,capture_date,expiry,dte,spot,atm_iv,put_iv,call_iv,put_skew,risk_reversal,loaded_at
spx,SPY,2026-08-09,2026-09-11,33,773.260009765625,0.13597183816555863,0.21642115199747675,0.136065578794086,0.08044931383191811,0.08035557320339073,2026-08-09 22:46:55.314404
ndx,QQQ,2026-08-09,2026-09-11,33,723.030029296875,0.21853811570163797,0.26706418201059107,0.1972206932523936,0.04852606630895309,0.06984348875819746,2026-08-09 22:46:55.838952
rut,IWM,2026-08-09,2026-09-11,33,301.55999755859375,0.17549169918429075,0.23625324810884143,0.16832374981142578,0.060761548924550685,0.06792949829741565,2026-08-09 22:46:56.309679
spx,SPY,2026-08-10,2026-09-11,32,773.030029296875,0.14123429080359629,0.21911329849712546,0.13552273253612523,0.07787900769352918,0.08359056596100023,2026-08-10 22:54:22.320214
ndx,QQQ,2026-08-10,2026-09-11,32,720.8699951171875,0.19206480609703713,0.2654619417350888,0.19188948823820803,0.07339713563805167,0.07357245349688077,2026-08-10 22:54:22.692234
rut,IWM,2026-08-10,2026-09-11,32,299.9800109863281,0.1648237460538926,0.24005273538941507,0.16624126257915056,0.07522898933552247,0.07381147281026451,2026-08-10 22:54:23.102883
spx,SPY,2026-08-11,2026-09-11,31,770.5599975585938,0.12778407748864054,0.21866016057929022,0.13621332322393365,0.09087608309064968,0.08244683735535657,2026-08-11 22:59:32.910196
ndx,QQQ,2026-08-11,2026-09-11,31,718.4500122070312,0.19580008472985494,0.2624042145476118,0.18481577435648439,0.06660412981775687,0.07758844019112743,2026-08-11 22:59:33.350718
rut,IWM,2026-08-11,2026-09-11,31,300.989990234375,0.16221812712430878,0.2406834002411365,0.16484672527730465,0.07846527311682772,0.07583667496383184,2026-08-11 22:59:33.77503
spx,SPY,2026-08-12,2026-09-11,30,772.489990234375,0.1226915979026265,0.21425885121870036,0.13496942934385553,0.09156725331607386,0.07928942187484483,2026-08-12 22:58:26.210573
ndx,QQQ,2026-08-12,2026-09-11,30,723.7000122070312,0.17990136782645347,0.25450878099637114,0.17814299083378915,0.07460741316991767,0.07636579016258199,2026-08-12 22:58:26.792972
rut,IWM,2026-08-12,2026-09-11,30,302.7099914550781,0.1669742172916239,0.23159303664178768,0.1596763720703125,0.06461881935016378,0.07191666457147519,2026-08-12 22:58:27.298503
spx,SPY,2026-08-13,2026-09-11,29,777.8800048828125,0.11060505351146811,0.21639210545442988,0.1384215122657658,0.10578705194296177,0.07797059318866409,2026-08-13 22:59:22.999989
ndx,QQQ,2026-08-13,2026-09-11,29,732.0700073242188,0.20000608540619694,0.253068434257824,0.1837439333744571,0.053062348851627056,0.06932450088336689,2026-08-13 22:59:23.570091
rut,IWM,2026-08-13,2026-09-11,29,303.5,0.1708456939697266,0.23010413458251955,0.15828478442382812,0.05925844061279295,0.07181935015869143,2026-08-13 22:59:24.088891
spx,SPY,2026-08-14,2026-09-11,28,776.3400268554688,0.11866150274378252,0.2145570178647898,0.1324077254107893,0.09589551512100729,0.08214929245400052,2026-08-14 22:37:37.020178
ndx,QQQ,2026-08-14,2026-09-11,28,731.0700073242188,0.18906647471664395,0.25390234966076164,0.17500134501996492,0.06483587494411769,0.07890100464079672,2026-08-14 22:37:37.5266
rut,IWM,2026-08-14,2026-09-11,28,305.0899963378906,0.16545513360470532,0.23522421102935814,0.15801492510640622,0.06976907742465283,0.07720928592295193,2026-08-14 22:37:37.981547
spx,SPY,2026-08-15,2026-09-11,27,776.3400268554688,0.12075955501459545,0.21834115971049292,0.13484910724672683,0.09758160469589747,0.08349205246376609,2026-08-15 22:36:09.738461
ndx,QQQ,2026-08-15,2026-09-11,27,731.0700073242188,0.19241085975345146,0.25841890605724605,0.17805307231488682,0.06600804630379459,0.08036583374235923,2026-08-15 22:36:10.216265
rut,IWM,2026-08-15,2026-09-11,27,305.0899963378906,0.16837929892221465,0.2393745601504519,0.16084709145052734,0.07099526122823724,0.07852746869992455,2026-08-15 22:36:10.629494
spx,SPY,2026-08-16,2026-09-18,33,776.3400268554688,0.12968540845924995,0.2194828734012693,0.1291901736918986,0.08979746494201934,0.09029269970937068,2026-08-16 22:36:00.449375
ndx,QQQ,2026-08-16,2026-09-18,33,731.0700073242188,0.20317503523870276,0.25939545879162107,0.18234406806669534,0.056220423552918314,0.07705139072492573,2026-08-16 22:36:00.822569
rut,IWM,2026-08-16,2026-09-18,33,305.0899963378906,0.17252599357007067,0.24157180380279564,0.1601825126649648,0.06904581023272496,0.08138929113783083,2026-08-16 22:36:01.149251
spx,SPY,2026-08-18,2026-09-18,31,767.4500122070312,0.13191761919930606,0.2303232338502928,0.12656879954960942,0.09840561465098674,0.10375443430068337,2026-08-18 22:38:37.859197
ndx,QQQ,2026-08-18,2026-09-18,31,717.510009765625,0.1969512652199329,0.2729119645863816,0.17346595768858794,0.07596069936644873,0.09944600689779368,2026-08-18 22:38:38.3745
rut,IWM,2026-08-18,2026-09-18,31,300.2300109863281,0.17337124044772245,0.2506765401734449,0.15223456966041032,0.07730529972572242,0.09844197051303455,2026-08-18 22:38:38.738108
spx,SPY,2026-08-19,2026-09-18,30,769.0599975585938,0.13079913991177505,0.22193136823537193,0.12779426534792201,0.09113222832359688,0.09413710288744992,2026-08-19 22:38:48.071102
ndx,QQQ,2026-08-19,2026-09-18,30,716.0800170898438,0.2041163386974491,0.266765513200391,0.1716364206514806,0.06264917450294188,0.09512909254891039,2026-08-19 22:38:48.511216
rut,IWM,2026-08-19,2026-09-18,30,301.7200012207031,0.1637192923440785,0.24078688479053967,0.15012217296747277,0.07706759244646116,0.0906647118230669,2026-08-19 22:38:48.885553
spx,SPY,2026-08-20,2026-09-18,29,762.5999755859375,0.13008111042562787,0.23310951451420034,0.1301746746261716,0.10302840408857247,0.10293483988802873,2026-08-20 22:41:42.700613
ndx,QQQ,2026-08-20,2026-09-18,29,710.9299926757812,0.1914424234141513,0.2806985355894074,0.17555377382083986,0.08925611217525609,0.10514476176856752,2026-08-20 22:41:43.064869
