market_id,market,report_date,available_from,open_interest,lev_long,lev_short,lev_spread,am_long,am_short,dealer_long,dealer_short,loaded_at
ust2,UST 2Y NOTE - CHICAGO BOARD OF TRADE,2024-04-02,2024-04-05,3872016,573955,1907055,200594,1705172,512368,109192,485864,2026-08-04 20:52:29.533318
ust2,UST 2Y NOTE - CHICAGO BOARD OF TRADE,2024-04-09,2024-04-12,3940485,599399,1934070,191234,1710256,533113,118980,478042,2026-08-04 20:52:29.533318
ust2,UST 2Y NOTE - CHICAGO BOARD OF TRADE,2024-04-16,2024-04-19,4095059,306732,2083428,166568,2163465,531825,147256,525039,2026-08-04 20:52:29.533318
ust2,UST 2Y NOTE - CHICAGO BOARD OF TRADE,2024-04-23,2024-04-26,4178396,336194,2168443,182577,2205826,516619,119426,490424,2026-08-04 20:52:29.533318
ust2,UST 2Y NOTE - CHICAGO BOARD OF TRADE,2024-04-30,2024-05-03,4201160,282830,2203269,161726,2290441,549875,117546,487878,2026-08-04 20:52:29.533318
ust2,UST 2Y NOTE - CHICAGO BOARD OF TRADE,2024-05-07,2024-05-10,4170324,302607,2210282,143141,2324265,597100,115992,477397,2026-08-04 20:52:29.533318
ust2,UST 2Y NOTE - CHICAGO BOARD OF TRADE,2024-05-14,2024-05-17,4135081,329150,2162623,140946,2243192,559188,110219,496143,2026-08-04 20:52:29.533318
ust2,UST 2Y NOTE - CHICAGO BOARD OF TRADE,2024-05-21,2024-05-24,4204447,317876,2178534,194333,2169722,578363,147410,435743,2026-08-04 20:52:29.533318
ust2,UST 2Y NOTE - CHICAGO BOARD OF TRADE,2024-05-28,2024-05-31,4172934,267714,2059762,232617,2027114,519381,172993,467041,2026-08-04 20:52:29.533318
ust2,UST 2Y NOTE - CHICAGO BOARD OF TRADE,2024-06-04,2024-06-07,3896137,280859,2098260,130768,2087277,528509,125809,447957,2026-08-04 20:52:29.533318
ust2,UST 2Y NOTE - CHICAGO BOARD OF TRADE,2024-06-11,2024-06-14,4031597,330096,2263978,112879,2180455,486387,152811,484739,2026-08-04 20:52:29.533318
ust2,UST 2Y NOTE - CHICAGO BOARD OF TRADE,2024-06-18,2024-06-21,4156557,331901,2433721,128580,2260316,460752,160974,424894,2026-08-04 20:52:29.533318
ust2,UST 2Y NOTE - CHICAGO BOARD OF TRADE,2024-06-25,2024-06-28,4188237,360792,2514604,104712,2334307,461248,147603,441776,2026-08-04 20:52:29.533318
ust2,UST 2Y NOTE - CHICAGO BOARD OF TRADE,2024-07-02,2024-07-05,4292945,398450,2568738,163425,2391188,523544,131124,395935,2026-08-04 20:52:29.533318
ust2,UST 2Y NOTE - CHICAGO BOARD OF TRADE,2024-07-09,2024-07-12,4359100,417082,2611863,169753,2374709,497695,155851,426178,2026-08-04 20:52:29.533318
ust2,UST 2Y NOTE - CHICAGO BOARD OF TRADE,2024-07-16,2024-07-19,4493997,460716,2677120,154065,2430279,532015,168158,443344,2026-08-04 20:52:29.533318
ust2,UST 2Y NOTE - CHICAGO BOARD OF TRADE,2024-07-23,2024-07-26,4498711,483107,2722486,180738,2447609,497684,175215,424289,2026-08-04 20:52:29.533318
ust2,UST 2Y NOTE - CHICAGO BOARD OF TRADE,2024-07-30,2024-08-02,4451221,499445,2681560,146561,2414315,519869,200048,382752,2026-08-04 20:52:29.533318
ust2,UST 2Y NOTE - CHICAGO BOARD OF TRADE,2024-08-06,2024-08-09,4498462,443427,2653618,152545,2532147,468918,155509,432569,2026-08-04 20:52:29.533318
ust2,UST 2Y NOTE - CHICAGO BOARD OF TRADE,2024-08-13,2024-08-16,4535097,451626,2740991,151303,2529833,456238,180232,434600,2026-08-04 20:52:29.533318
ust2,UST 2Y NOTE - CHICAGO BOARD OF TRADE,2024-08-20,2024-08-23,4557751,398616,2742680,182619,2548886,479992,201786,407149,2026-08-04 20:52:29.533318
ust2,UST 2Y NOTE - CHICAGO BOARD OF TRADE,2024-08-27,2024-08-30,4371492,332850,2491665,179333,2425684,475883,168131,433269,2026-08-04 20:52:29.533318
ust2,UST 2Y NOTE - CHICAGO BOARD OF TRADE,2024-09-03,2024-09-06,4276618,367437,2563992,128434,2470841,501997,153557,410081,2026-08-04 20:52:29.533318
ust2,UST 2Y NOTE - CHICAGO BOARD OF TRADE,2024-09-10,2024-09-13,4401478,408484,2662623,142220,2587776,459053,125015,415629,2026-08-04 20:52:29.533318
ust2,UST 2Y NOTE - CHICAGO BOARD OF TRADE,2024-09-17,2024-09-20,4389249,369690,2620252,158032,2561596,402298,142044,455252,2026-08-04 20:52:29.533318
ust2,UST 2Y NOTE - CHICAGO BOARD OF TRADE,2024-09-24,2024-09-27,4517791,445342,2739184,137011,2580384,475619,168832,434214,2026-08-04 20:52:29.533318
ust2,UST 2Y NOTE - CHICAGO BOARD OF TRADE,2024-10-01,2024-10-04,4523095,430799,2806697,125373,2605971,489703,169738,386800,2026-08-04 20:52:29.533318
ust2,UST 2Y NOTE - CHICAGO BOARD OF TRADE,2024-10-08,2024-10-11,4516925,406874,2821011,148233,2590894,422405,175490,431825,2026-08-04 20:52:29.533318
ust2,UST 2Y NOTE - CHICAGO BOARD OF TRADE,2024-10-15,2024-10-18,4540760,355091,2866397,171741,2641155,422375,192795,462726,2026-08-04 20:52:29.533318
ust2,UST 2Y NOTE - CHICAGO BOARD OF TRADE,2024-10-22,2024-10-25,4626308,387609,2953197,173453,2702055,426127,216588,467401,2026-08-04 20:52:29.533318
ust2,UST 2Y NOTE - CHICAGO BOARD OF TRADE,2024-10-29,2024-11-01,4576316,366268,2994194,149808,2694964,406688,219210,421068,2026-08-04 20:52:29.533318
ust2,UST 2Y NOTE - CHICAGO BOARD OF TRADE,2024-11-05,2024-11-08,4457909,293745,2928157,175784,2602873,272933,209231,432315,2026-08-04 20:52:29.533318
ust2,UST 2Y NOTE - CHICAGO BOARD OF TRADE,2024-11-12,2024-11-15,4679232,346740,3044236,220052,2644828,271554,184277,453525,2026-08-04 20:52:29.533318
ust2,UST 2Y NOTE - CHICAGO BOARD OF TRADE,2024-11-19,2024-11-22,4676352,330290,2928624,288135,2531438,248391,191188,429798,2026-08-04 20:52:29.533318
